#t / s	&b_A1 / rad
0	2.83
0.05	2.83
0.1	2.83
0.15	2.83
0.2	2.83
0.25	2.83
0.3	2.83
0.35	2.83
0.4	2.83
0.45	2.83
0.5	2.83
0.55	2.83
0.6	2.83
0.65	2.81
0.7	2.74
0.75	2.61
0.8	2.38
0.85	2.09
0.9	1.71
0.95	1.31
1	0.86
1.05	0.38
1.1	-0.12
1.15	-0.61
1.2	-1.09
1.25	-1.5
1.3	-1.89
1.35	-2.23
1.4	-2.48
1.45	-2.69
1.5	-2.79
1.55	-2.74
1.6	-2.61
1.65	-2.37
1.7	-2.09
1.75	-1.73
1.8	-1.33
1.85	-0.87
1.9	-0.4
1.95	0.07
2	0.57
2.05	1.01
2.1	1.44
2.15	1.83
2.2	2.13
2.25	2.39
2.3	2.57
2.35	2.69
2.4	2.7
2.45	2.62
2.5	2.48
2.55	2.23
2.6	1.95
2.65	1.58
2.7	1.18
2.75	0.73
2.8	0.26
2.85	-0.21
2.9	-0.69
2.95	-1.12
3	-1.53
3.05	-1.9
3.1	-2.21
3.15	-2.45
3.2	-2.61
3.25	-2.71
3.3	-2.73
3.35	-2.66
3.4	-2.52
3.45	-2.3
3.5	-2
3.55	-1.68
3.6	-1.28
3.65	-0.86
3.7	-0.4
3.75	0.08
3.8	0.52
3.85	0.98
3.9	1.39
3.95	1.76
4	2.06
4.05	2.31
4.1	2.48
4.15	2.58
4.2	2.61
4.25	2.52
4.3	2.39
4.35	2.18
4.4	1.88
4.45	1.52
4.5	1.13
4.55	0.71
4.6	0.26
4.65	-0.2
4.7	-0.65
4.75	-1.09
4.8	-1.48
4.85	-1.83
4.9	-2.13
4.95	-2.36
5	-2.52
5.05	-2.61
5.1	-2.62
5.15	-2.57
5.2	-2.43
5.25	-2.22
5.3	-1.93
5.35	-1.61
5.4	-1.23
5.45	-0.83
5.5	-0.39
5.55	0.05
5.6	0.52
5.65	0.95
5.7	1.34
5.75	1.7
5.8	2
5.85	2.23
5.9	2.4
5.95	2.49
6	2.51
6.05	2.45
6.1	2.31
6.15	2.09
6.2	1.82
6.25	1.48
6.3	1.1
6.35	0.69
6.4	0.25
6.45	-0.18
6.5	-0.62
6.55	-1.04
6.6	-1.44
6.65	-1.77
6.7	-2.05
6.75	-2.27
6.8	-2.44
6.85	-2.52
6.9	-2.54
6.95	-2.48
7	-2.35
7.05	-2.13
7.1	-1.87
7.15	-1.56
7.2	-1.19
7.25	-0.78
7.3	-0.37
7.35	0.07
7.4	0.49
7.45	0.91
7.5	1.31
7.55	1.65
7.6	1.93
7.65	2.18
7.7	2.32
7.75	2.42
7.8	2.44
7.85	2.36
7.9	2.22
7.95	2.01
8	1.74
8.05	1.43
8.1	1.07
8.15	0.65
8.2	0.25
8.25	-0.22
8.3	-0.61
8.35	-1.01
8.4	-1.39
8.45	-1.71
8.5	-2
8.55	-2.21
8.6	-2.35
8.65	-2.44
8.7	-2.45
8.75	-2.39
8.8	-2.25
8.85	-2.05
8.9	-1.8
8.95	-1.48
9	-1.13
9.05	-0.75
9.1	-0.35
9.15	0.09
9.2	0.49
9.25	0.89
9.3	1.26
9.35	1.6
9.4	1.87
9.45	2.09
9.5	2.25
9.55	2.34
9.6	2.35
9.65	2.27
9.7	2.14
9.75	1.95
9.8	1.68
9.85	1.36
9.9	1
9.95	0.61
10	0.22
10.05	-0.21
10.1	-0.61
10.15	-0.99
10.2	-1.35
10.25	-1.66
10.3	-1.93
10.35	-2.13
10.4	-2.27
10.45	-2.35
10.5	-2.36
10.55	-2.3
10.6	-2.18
10.65	-1.97
10.7	-1.73
10.75	-1.43
10.8	-1.09
10.85	-0.71
10.9	-0.3
10.95	0.09
11	0.51
11.05	0.87
11.1	1.24
11.15	1.56
11.2	1.83
11.25	2.03
11.3	2.18
11.35	2.26
11.4	2.26
11.45	2.2
11.5	2.06
11.55	1.87
11.6	1.61
11.65	1.31
