#t / s	&b_A1 / rad	f_1
0	2.82	0
0.05	2.82	0
0.11	2.82	0
0.16	2.82	0
0.2	2.82	0
0.25	2.82	0
0.3	2.82	0
0.35	2.83	0
0.4	2.83	0
0.45	2.82	0
0.5	2.76	0
0.55	2.64	0
0.6	2.43	0
0.65	2.13	0
0.7	1.78	0
0.75	1.36	0
0.8	0.92	0
0.85	0.45	0
0.9	-0.04	0
0.95	-0.52	0
1	-0.99	0
1.05	-1.4	0
1.1	-1.83	0
1.15	-2.13	0
1.2	-2.4	0
1.25	-2.6	0
1.3	-2.73	0
1.35	-2.76	0
1.4	-2.71	0
1.45	-2.58	0
1.5	-2.37	0
1.55	-2.1	0
1.6	-1.76	0
1.65	-1.37	0
1.7	-0.95	0
1.75	-0.5	0
1.8	-0.04	0
1.85	0.44	0
1.9	0.87	0
1.95	1.29	0
2	1.66	0
2.05	1.99	0
2.1	2.25	0
2.15	2.44	0
2.2	2.54	0
2.25	2.57	0
2.3	2.52	0
2.35	2.39	0
2.4	2.18	0
2.45	1.92	0
2.5	1.58	0
2.55	1.21	0
2.6	0.78	0
2.65	0.35	0
2.7	-0.09	0
2.75	-0.54	0
2.8	-0.96	0
2.85	-1.35	0
2.9	-1.7	0
2.95	-2	0
3	-2.23	0
3.05	-2.39	0
3.1	-2.49	0
3.15	-2.52	0
3.2	-2.48	0
3.25	-2.35	0
3.3	-2.17	0
3.35	-1.92	0
3.4	-1.61	0
3.45	-1.26	0
3.5	-0.87	0
3.55	-0.42	0
3.6	-0.02	0
3.65	0.39	0
3.7	0.79	0
3.75	1.19	0
3.8	1.53	0
3.85	1.83	0
3.9	2.05	0
3.95	2.22	0
4	2.32	0
4.05	2.35	0
4.1	2.31	0
4.15	2.18	0
4.2	1.99	0
4.25	1.74	0
4.3	1.44	0
4.35	1.09	0
4.4	0.71	0
4.45	0.3	0
4.5	-0.09	0
4.55	-0.49	0
4.6	-0.88	0
4.65	-1.24	0
4.7	-1.56	0
4.76	-1.86	0
4.8	-2.05	0
4.85	-2.19	0
4.9	-2.27	0
4.95	-2.31	0
5	-2.25	0
5.05	-2.13	0
5.1	-1.97	0
5.15	-1.74	0
5.21	-1.43	0
5.25	-1.13	0
5.3	-0.78	0
5.35	-0.39	0
5.4	-0.01	0
5.45	0.38	0
5.5	0.74	0
5.55	1.1	0
5.6	1.41	0
5.65	1.66	0
5.7	1.88	0
5.75	2.05	0
5.8	2.13	0
5.85	2.14	0
5.9	2.09	0
5.95	1.99	0
6	1.82	0
6.05	1.58	0
6.1	1.31	0
6.15	0.99	0
6.2	0.62	0
6.25	0.27	0
6.3	-0.11	0
6.35	-0.47	0
6.4	-0.82	0
6.45	-1.13	0
6.5	-1.44	0
6.55	-1.69	0
6.6	-1.87	0
6.65	-2	0
6.7	-2.09	0
6.75	-2.1	0
6.8	-2.06	0
6.85	-1.96	0
6.9	-1.78	0
6.95	-1.58	0
7	-1.32	0
7.05	-1.02	0
7.1	-0.7	0
7.15	-0.35	0
7.2	0	0
7.25	0.36	0
7.3	0.7	0
7.35	1.02	0
7.4	1.31	0
7.45	1.55	0
7.5	1.74	0
7.55	1.87	0
7.6	1.95	0
7.65	1.96	0
7.7	1.92	0
7.75	1.82	0
7.8	1.65	0
7.85	1.44	0
7.9	1.19	0
7.95	0.89	0
8	0.58	0
8.05	0.24	0
8.1	-0.1	0
8.15	-0.44	0
8.2	-0.75	0
8.25	-1.04	0
8.3	-1.32	0
8.35	-1.55	0
8.4	-1.71	0
8.45	-1.84	0
8.5	-1.92	0
8.55	-1.92	0
8.6	-1.87	0
8.65	-1.78	0
8.7	-1.62	0
8.75	-1.44	0
8.8	-1.18	0
8.85	-0.91	0
8.9	-0.62	0
8.95	-0.3	0
9	0.02	0
9.05	0.35	0
9.1	0.65	0
9.15	0.95	0
9.2	1.21	0
9.25	1.43	0
9.3	1.6	0
9.35	1.72	0
9.4	1.78	0
9.45	1.8	0
9.5	1.75	0
9.55	1.65	0
9.6	1.51	0
9.65	1.31	0
9.7	1.08	0
9.75	0.82	0
9.8	0.51	0
9.85	0.21	0
9.9	-0.12	0
9.95	-0.41	0
10	-0.7	0
10.05	-0.97	0
10.1	-1.22	0
10.15	-1.43	0
10.2	-1.57	0
10.25	-1.69	0
10.3	-1.74	0
10.35	-1.75	0
10.4	-1.7	0
10.45	-1.61	0
10.5	-1.47	0
10.55	-1.29	0
10.6	-1.06	0
10.65	-0.82	0
10.7	-0.53	0
10.75	-0.25	0
10.8	0.04	0
10.85	0.35	0
10.9	0.62	0
10.95	0.88	0
11	1.12	0
11.05	1.31	0
11.1	1.47	0
11.15	1.57	0
11.2	1.63	0
11.25	1.64	0
11.3	1.6	0
11.35	1.5	0
11.4	1.36	0
11.45	1.18	0
11.5	0.96	0
11.55	0.71	0
11.6	0.44	0
11.65	0.16	0
11.7	-0.13	0
11.75	-0.39	0
11.8	-0.66	0
11.85	-0.91	0
11.9	-1.13	0
11.95	-1.31	0
12	-1.44	0
12.05	-1.53	0
12.1	-1.59	0
12.15	-1.6	0
12.2	-1.56	0
12.25	-1.46	0
12.3	-1.32	0
12.35	-1.15	0
12.4	-0.95	0
12.45	-0.71	0
12.5	-0.47	0
12.55	-0.2	0
12.6	0.08	0
12.65	0.35	0
12.7	0.61	0
12.75	0.83	0
12.8	1.04	0
12.85	1.22	0
12.9	1.35	0
12.95	1.45	0
13	1.49	0
13.05	1.49	0
13.1	1.45	0
13.15	1.36	0
13.2	1.22	0
13.25	1.06	0
13.3	0.86	0
13.35	0.62	0
13.4	0.38	0
13.45	0.13	0
13.5	-0.13	0
13.55	-0.39	0
13.6	-0.63	0
13.65	-0.85	0
13.7	-1.04	0
13.75	-1.21	0
13.8	-1.33	0
13.85	-1.4	0
13.9	-1.45	0
13.95	-1.45	0
14	-1.39	0
14.05	-1.32	0
14.1	-1.19	0
14.15	-1.03	0
14.2	-0.83	0
14.25	-0.62	0
14.3	-0.39	0
14.35	-0.14	0
14.4	0.1	0
14.45	0.35	0
14.5	0.57	0
14.55	0.78	0
14.6	0.97	0
14.65	1.13	0
14.7	1.25	0
14.75	1.33	0
14.8	1.36	0
14.85	1.36	0
14.9	1.32	0
14.95	1.22	0
15	1.1	0
15.05	0.95	0
15.1	0.75	0
15.15	0.55	0
15.2	0.32	0
15.25	0.08	0
15.3	-0.14	0
15.35	-0.39	0
15.4	-0.61	0
15.45	-0.79	0
15.5	-0.97	0
15.55	-1.12	0
15.6	-1.22	0
15.65	-1.29	0
15.7	-1.32	0
15.75	-1.32	0
15.8	-1.27	0
15.85	-1.18	0
15.9	-1.07	0
15.95	-0.91	0
16	-0.74	0
16.05	-0.53	0
16.1	-0.33	0
16.15	-0.1	0
16.2	0.12	0
16.25	0.35	0
16.3	0.55	0
16.35	0.74	0
16.4	0.91	0
16.45	1.04	0
16.5	1.15	0
16.55	1.22	0
16.6	1.25	0
16.65	1.24	0
16.7	1.19	0
16.75	1.1	0
16.8	0.99	0
16.85	0.84	0
16.9	0.66	0
16.95	0.47	0
17	0.26	0
17.05	0.04	0
17.1	-0.17	0
17.15	-0.38	0
17.2	-0.57	0
17.25	-0.74	0
17.3	-0.9	0
17.35	-1.03	0
17.4	-1.13	0
17.45	-1.18	0
17.5	-1.21	0
17.55	-1.2	0
17.6	-1.14	0
17.65	-1.07	0
17.7	-0.96	0
17.75	-0.82	0
17.8	-0.65	0
17.85	-0.47	0
17.9	-0.26	0
17.95	-0.05	0
18	0.14	0
18.05	0.35	0
18.1	0.53	0
18.15	0.7	0
18.2	0.86	0
18.25	0.97	0
18.3	1.07	0
18.35	1.12	0
18.4	1.14	0
18.45	1.13	0
18.5	1.09	0
18.55	1	0
18.6	0.88	0
18.65	0.74	0
18.7	0.58	0
18.75	0.4	0
18.8	0.22	0
18.85	0.02	0
18.9	-0.17	0
18.95	-0.36	0
19	-0.54	0
19.05	-0.7	0
19.1	-0.84	0
19.15	-0.96	0
19.2	-1.03	0
19.25	-1.09	0
19.3	-1.1	0
19.35	-1.09	0
19.4	-1.04	0
19.45	-0.96	0
19.5	-0.86	0
19.55	-0.72	0
19.6	-0.57	0
19.65	-0.39	0
19.7	-0.22	0
19.75	-0.03	0
19.8	0.16	0
19.85	0.35	0
19.9	0.51	0
19.95	0.66	0
20	0.79	0
20.05	0.9	0
20.1	0.99	0
20.15	1.03	0
20.2	1.04	0
20.25	1.03	0
20.3	0.97	0
20.35	0.9	0
20.4	0.78	0
20.45	0.65	0
20.5	0.51	0
20.55	0.35	0
20.6	0.17	0
20.65	0	0
20.7	-0.18	0
20.75	-0.36	0
20.8	-0.52	0
20.85	-0.66	0
20.9	-0.78	0
20.95	-0.88	0
21	-0.96	0
21.05	-0.99	0
21.1	-1	0
21.15	-0.98	0
21.2	-0.94	0
21.25	-0.86	0
21.3	-0.75	0
