#f2 / Hz	U_B1 / V	U_A1 / V	U_2 / V	I_2 / A	&j_2 / °
10	0	2.13	2.12	0.001	-80.4
91	0	2.14	2.12	0.001	-71.3
168	0	2.16	2.12	0.001	-77.4
241	0	2.19	2.12	0.001	-80
309	0.01	2.22	2.12	0.002	-81.6
374	0.01	2.27	2.12	0.002	-82.4
435	0.02	2.32	2.12	0.002	-82.2
493	0.03	2.38	2.12	0.002	-82.9
547	0.03	2.44	2.12	0.003	-82.9
599	0.04	2.51	2.12	0.003	-82.8
647	0.05	2.59	2.12	0.003	-82.6
693	0.06	2.67	2.12	0.004	-82.3
736	0.07	2.77	2.12	0.004	-81.8
777	0.08	2.85	2.12	0.004	-81.5
815	0.09	2.95	2.12	0.005	-81.3
852	0.1	3.06	2.12	0.005	-80.7
886	0.11	3.17	2.12	0.006	-80.3
919	0.12	3.29	2.12	0.006	-79.7
949	0.13	3.41	2.12	0.006	-79.2
978	0.15	3.53	2.12	0.007	-78.7
1005	0.16	3.68	2.12	0.007	-78.1
1031	0.18	3.82	2.12	0.008	-77.4
1055	0.19	3.96	2.12	0.008	-76.6
1078	0.21	4.11	2.12	0.009	-75.9
1100	0.22	4.26	2.12	0.009	-75.2
1120	0.24	4.42	2.12	0.01	-74.5
1140	0.26	4.58	2.12	0.01	-73.5
1158	0.28	4.75	2.12	0.011	-72.8
1175	0.3	4.93	2.12	0.011	-72
1191	0.31	5.11	2.12	0.012	-71
1207	0.33	5.28	2.12	0.012	-70.1
1221	0.35	5.47	2.12	0.013	-69.1
1235	0.37	5.65	2.12	0.014	-68.4
1248	0.39	5.83	2.12	0.014	-67.2
1260	0.41	6.01	2.12	0.015	-66.3
1271	0.43	6.21	2.12	0.015	-65.2
1282	0.46	6.4	2.12	0.016	-64.1
1293	0.48	6.58	2.12	0.017	-63.3
1302	0.5	6.78	2.12	0.017	-62.2
1311	0.52	6.96	2.12	0.018	-61
1320	0.54	7.15	2.12	0.018	-59.9
1329	0.56	7.31	2.12	0.019	-59
1338	0.58	7.47	2.12	0.02	-57.6
1347	0.61	7.62	2.12	0.02	-56
1358	0.64	7.75	2.12	0.021	-54.6
1369	0.68	7.88	2.12	0.022	-52.7
1380	0.72	8.02	2.12	0.023	-50.2
1392	0.76	8.14	2.12	0.024	-48
1405	0.81	8.26	2.12	0.026	-44.9
1419	0.86	8.36	2.12	0.027	-41.7
1433	0.92	8.47	2.12	0.029	-37.7
1449	0.98	8.57	2.12	0.03	-32.8
1465	1.05	8.65	2.12	0.032	-27.5
1482	1.12	8.72	2.12	0.033	-21.2
1500	1.17	8.77	2.12	0.034	-13.8
1520	1.21	8.78	2.12	0.035	-6.2
1540	1.23	8.76	2.12	0.035	3.6
1562	1.22	8.68	2.12	0.034	11.9
1585	1.18	8.57	2.12	0.033	20.2
1609	1.12	8.39	2.12	0.03	28.3
1635	1.05	8.13	2.12	0.028	35.4
1662	0.97	7.77	2.12	0.025	42
1691	0.89	7.22	2.12	0.023	47
1721	0.82	6.41	2.12	0.021	51.8
1754	0.76	5.71	2.12	0.019	55.3
1788	0.7	5.06	2.12	0.017	58.7
1825	0.65	4.51	2.12	0.015	61.4
1863	0.6	4.02	2.12	0.014	63.9
1904	0.56	3.6	2.12	0.013	66
1947	0.53	3.22	2.12	0.012	67.7
1993	0.5	2.91	2.12	0.011	69.3
2041	0.47	2.61	2.12	0.01	70.8
2093	0.45	2.36	2.12	0.009	71.9
2147	0.42	2.13	2.12	0.008	72.9
2205	0.4	1.93	2.12	0.008	73.7
2266	0.39	1.74	2.12	0.007	74.6
2331	0.37	1.58	2.12	0.006	75.3
2399	0.36	1.45	2.12	0.006	76.1
2472	0.34	1.31	2.12	0.006	76.3
2549	0.33	1.19	2.12	0.005	76.7
2630	0.32	1.07	2.12	0.005	76.9
2716	0.31	0.98	2.12	0.004	77.6
2808	0.3	0.91	2.12	0.004	77.8
2904	0.3	0.83	2.12	0.004	77.9
 
