#f2 / Hz	U_B1 / V	U_A1 / V	U_2 / V	I_2 / A	&j_2 / °
10	0.	2.13	2.12	0.	-75
91	0.	2.14	2.12	0.001	-70.3
168	0.	2.16	2.12	0.001	-77.8
241	0.	2.19	2.12	0.001	-81.1
309	0.01	2.23	2.12	0.002	-82.5
374	0.01	2.27	2.12	0.002	-83.4
435	0.02	2.32	2.12	0.002	-84.4
493	0.03	2.38	2.12	0.002	-85.1
547	0.03	2.44	2.12	0.003	-85.3
599	0.04	2.52	2.12	0.003	-85.6
647	0.05	2.6	2.12	0.003	-85.7
693	0.06	2.68	2.12	0.004	-85.8
736	0.07	2.79	2.12	0.004	-85.8
777	0.08	2.87	2.12	0.005	-85.9
815	0.09	2.98	2.12	0.005	-85.8
852	0.1	3.09	2.12	0.005	-85.8
886	0.11	3.21	2.12	0.006	-85.7
919	0.12	3.33	2.12	0.006	-85.7
949	0.14	3.47	2.12	0.007	-85.5
978	0.15	3.59	2.12	0.007	-85.5
1005	0.17	3.77	2.12	0.008	-85.4
1031	0.18	3.89	2.12	0.008	-85
1055	0.2	4.05	2.12	0.008	-84.9
1078	0.21	4.22	2.12	0.009	-84.7
1100	0.23	4.39	2.12	0.009	-84.5
1120	0.25	4.58	2.12	0.01	-84.4
1140	0.27	4.75	2.12	0.011	-83.9
1158	0.29	4.95	2.12	0.011	-83.8
1175	0.31	5.16	2.12	0.012	-83.5
1191	0.33	5.37	2.12	0.012	-83
1207	0.35	5.58	2.12	0.013	-82.7
1221	0.38	5.81	2.12	0.014	-82.3
1235	0.4	6.04	2.12	0.014	-82.3
1248	0.42	6.28	2.12	0.015	-81.8
1260	0.45	6.52	2.12	0.016	-81.3
1271	0.48	6.78	2.12	0.017	-81
1282	0.5	7.04	2.12	0.018	-80.5
1293	0.53	7.28	2.12	0.018	-80.5
1302	0.56	7.49	2.12	0.019	-80
1311	0.59	7.65	2.12	0.02	-79.4
1320	0.62	7.8	2.12	0.021	-79
1329	0.65	7.92	2.12	0.022	-78.3
1338	0.68	8.05	2.12	0.023	-77.7
1347	0.72	8.19	2.12	0.024	-76.8
1358	0.77	8.32	2.12	0.025	-76.4
1369	0.83	8.45	2.12	0.027	-75.7
1380	0.9	8.59	2.12	0.029	-74.2
1392	0.99	8.73	2.12	0.031	-73
1405	1.1	8.87	2.12	0.035	-70.9
1419	1.22	9.01	2.12	0.038	-69
1433	1.4	9.16	2.12	0.043	-66
1449	1.63	9.3	2.12	0.05	-61.7
1465	1.94	9.44	2.12	0.058	-56.2
1482	2.39	9.58	2.12	0.071	-47.6
1500	2.95	9.7	2.12	0.086	-33.8
1520	3.47	9.77	2.12	0.1	-14.1
1540	3.52	9.76	2.12	0.1	12
1562	3.03	9.71	2.12	0.085	33.5
1585	2.42	9.5	2.12	0.067	48.2
1609	1.94	9.26	2.12	0.053	58.1
1635	1.59	8.98	2.12	0.042	64.5
1662	1.33	8.62	2.12	0.035	69.2
1691	1.14	8.19	2.12	0.029	72
1721	1	7.58	2.12	0.025	74.8
1754	0.88	6.63	2.12	0.022	75.9
1788	0.79	5.71	2.12	0.019	77.5
1825	0.72	5	2.12	0.017	78.5
1863	0.65	4.35	2.12	0.015	79.7
1904	0.6	3.85	2.12	0.013	80.6
1947	0.56	3.41	2.12	0.012	81
1993	0.52	3.06	2.12	0.011	81.7
2041	0.49	2.71	2.12	0.01	82.2
2093	0.46	2.44	2.12	0.009	82.5
2147	0.44	2.2	2.12	0.008	82.8
2205	0.42	1.99	2.12	0.008	83.3
2266	0.4	1.79	2.12	0.007	83.1
2331	0.38	1.62	2.12	0.007	83.4
2399	0.37	1.55	2.12	0.006	84
2472	0.35	1.34	2.12	0.006	83.4
2549	0.34	1.21	2.12	0.005	83.7
2630	0.32	1.08	2.12	0.005	83.8
2716	0.32	1.01	2.12	0.004	83.9
2808	0.31	0.93	2.12	0.004	83.6
2904	0.3	0.87	2.12	0.004	83.8
 
